2021-03-16 14:41:50.792  INFO 10468 --- [main] com.fujinjin.river.RiverApplication      : Starting RiverApplication using Java 13.0.2 on LAPTOP-C9F0LBF5 with PID 10468 (D:\javawj\river\target\classes started by 86176 in D:\javawj\river)
2021-03-16 14:41:50.792  INFO 10468 --- [main] com.fujinjin.river.RiverApplication      : No active profile set, falling back to default profiles: default
2021-03-16 14:41:52.011  INFO 10468 --- [main] pertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-03-16 14:41:52.339  INFO 10468 --- [main] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2021-03-16 14:41:52.354  INFO 10468 --- [main] d.s.w.p.DocumentationPluginsBootstrapper : Found 3 custom documentation plugin(s)
2021-03-16 14:41:52.370  INFO 10468 --- [main] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2021-03-16 14:41:52.432  INFO 10468 --- [main] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2021-03-16 14:41:52.448  INFO 10468 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: helloUsingGET_1
2021-03-16 14:41:52.448  INFO 10468 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: findAllUsingGET_1
2021-03-16 14:41:52.448  INFO 10468 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: findAllUsingHEAD_1
2021-03-16 14:41:52.448  INFO 10468 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: findAllUsingPOST_1
2021-03-16 14:41:52.448  INFO 10468 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: findAllUsingPUT_1
2021-03-16 14:41:52.448  INFO 10468 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: findAllUsingPATCH_1
2021-03-16 14:41:52.464  INFO 10468 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: findAllUsingDELETE_1
2021-03-16 14:41:52.464  INFO 10468 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: findAllUsingOPTIONS_1
2021-03-16 14:41:52.464  INFO 10468 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: findAllUsingTRACE_1
